global_id,directionality,length,speed_limit,geometry
{8F969862-9F81-480E-AB2F-89DF27005924},0.0,30.009882472586003,50.0,"LINESTRING (659566 6469788.800000001, 659568.8999999985 6469768.3999999985, 659569.200000003 6469759)"
{BE820666-6211-42A5-9E93-5C17A9F1D2AC},0.0,11.882760622010359,50.0,"LINESTRING (659564.6000000015 6469800.6000000015, 659566 6469788.800000001)"
{ECAC42D9-5D54-4639-8BC9-63481F9B373A},0.0,48.86898622140877,50.0,"LINESTRING (659564.6000000015 6469800.6000000015, 659583.3999999985 6469800.8999999985, 659613.3999999985 6469802.8999999985)"
{BF989B70-DEF6-4B25-BCC6-80F2C0223549},0.0,35.75052447167733,50.0,"LINESTRING (659562.700000003 6469836.300000001, 659564.6000000015 6469800.6000000015)"
{9BB99A5D-705B-40DD-A2A4-44588D20AA9E},0.0,27.1154937259125,50.0,"LINESTRING (659562.700000003 6469836.300000001, 659589.700000003 6469838.800000001)"
{05893707-FD8A-4CC9-A2A6-79E517EE3219},0.0,19.68146336022807,50.0,"LINESTRING (660126.6000000015 6469844.699999999, 660142.200000003 6469832.699999999)"
{D46F82AA-9FEE-4937-88EE-F94EB861680B},0.0,126.52232041947912,50.0,"LINESTRING (660332 6469845.1000000015, 660329.799999997 6469836.800000001, 660324.3999999985 6469805.199999999, 660315.299999997 6469796.1000000015, 660242.299999997 6469797.199999999)"
{44B45B8E-934F-4783-98B8-834ABCCC3097},0.0,59.32836450190133,50.0,"LINESTRING (660332 6469845.1000000015, 660333.299999997 6469843.8999999985, 660335.1000000015 6469842.8999999985, 660337.6000000015 6469842.300000001, 660362.1000000015 6469842.8999999985, 660381.799999997 6469843.6000000015, 660387.299999997 6469844.1000000015, 660388.299999997 6469845.199999999, 660388.299999997 6469846.8999999985)"
{CAA81836-AD72-4C29-BBCA-7EFD0D1C25C8},0.0,46.14483783381658,50.0,"LINESTRING (660388.299999997 6469846.8999999985, 660391.8999999985 6469846.1000000015, 660394.6000000015 6469845.1000000015, 660397.3999999985 6469842.6000000015, 660399.5 6469838.8999999985, 660400 6469836, 660399.8999999985 6469833.199999999, 660398.200000003 6469830.699999999, 660395.700000003 6469828.8999999985, 660391.8999999985 6469828.5, 660376 6469828.3999999985)"
{EB84AFE3-0637-4768-820B-789E31B05F25},0.0,160.21376327126367,50.0,"LINESTRING (659922.700000003 6469856.300000001, 659926 6469777.1000000015, 659845.1000000015 6469774.3999999985)"
{B6BBF108-145C-421F-8640-2A16459B1C12},0.0,51.61027522093134,50.0,"LINESTRING (660230.200000003 6469860, 660235.700000003 6469855, 660239.6000000015 6469849.8999999985, 660241.6000000015 6469845.699999999, 660242.6000000015 6469840.8999999985, 660242.6000000015 6469835.300000001, 660241.299999997 6469830.199999999, 660238.700000003 6469825.3999999985, 660234.799999997 6469822.199999999, 660228.3999999985 6469819.800000001)"
{959B32BA-F7CE-4651-9413-BCC3AD3186A9},0.0,56.6961197966845,50.0,"LINESTRING (660230.200000003 6469860, 660286.799999997 6469863.300000001)"
{C9EE3C0A-AFD5-4285-A8E3-E9A68675FF34},0.0,44.4190274544592,50.0,"LINESTRING (660286.799999997 6469863.300000001, 660331.200000003 6469864.6000000015)"
{3292BC5A-6BFF-4978-9E11-5D896BBCE680},0.0,19.59287825896576,50.0,"LINESTRING (660331.200000003 6469864.6000000015, 660331.299999997 6469847.699999999, 660332 6469845.1000000015)"
{CCA3BD21-2145-484A-B6BD-68DD2AC0F932},0.0,34.69827085028878,50.0,"LINESTRING (660181.6000000015 6469866.3999999985, 660189 6469832.5)"
{807C72BB-4A2B-4C95-A8D7-F0EF2867EAD0},0.0,49.17266400903348,50.0,"LINESTRING (660181.6000000015 6469866.3999999985, 660187.700000003 6469864.300000001, 660194.5 6469863.3999999985, 660215.6000000015 6469861.300000001, 660230.200000003 6469860)"
{21222709-3321-42CE-80E7-9746E0569794},0.0,63.28239093601518,50.0,"LINESTRING (660076.1000000015 6469867.300000001, 660077.5 6469862, 660079.6000000015 6469856.300000001, 660085.1000000015 6469849.199999999, 660091.200000003 6469845.6000000015, 660103.1000000015 6469843.300000001, 660126.6000000015 6469844.699999999)"
{DE4A1B1A-41DC-4ABF-B51C-BE1CC425733F},0.0,23.2363938682404,50.0,"LINESTRING (660099.299999997 6469868.6000000015, 660076.1000000015 6469867.300000001)"
{D19943C7-0945-46A0-A979-7F0ADF640FA9},0.0,61.10535312635731,50.0,"LINESTRING (660126.6000000015 6469844.699999999, 660126.6000000015 6469860.6000000015, 660127.299999997 6469867.300000001, 660128.3999999985 6469869.6000000015, 660131.3999999985 6469871.6000000015, 660135.200000003 6469873, 660153.8999999985 6469874.5, 660158.5 6469875.8999999985, 660162.700000003 6469878)"
{FCBA97DE-1F67-41DC-B531-99D81BF4BE55},0.0,22.179864924731216,50.0,"LINESTRING (660162.700000003 6469878, 660170.5 6469873.3999999985, 660178.6000000015 6469868.3999999985, 660181.6000000015 6469866.3999999985)"
{0DD8571F-9AAD-4AA4-8423-0A8B7D15B4D1},0.0,40.53022838325676,50.0,"LINESTRING (659132.1000000015 6469879.699999999, 659099.200000003 6469878.199999999, 659091.8999999985 6469880.300000001)"
{C59FA332-FF0E-407C-998D-5B62E6F863E3},0.0,78.76082815607002,50.0,"LINESTRING (659210.700000003 6469884.5, 659175.5 6469881.6000000015, 659132.1000000015 6469879.699999999)"
{DB6200FF-B7B9-4EA1-B1D3-F9A49822C12D},0.0,26.742101637679863,50.0,"LINESTRING (659210.700000003 6469884.5, 659237.3999999985 6469886)"
