ID,Nimi,Number,Liik,Tee_GID,Piirkiirus,Kate
13591,Staadioni tn,7951045,kõrvaltänav,{6894DB9B-A7E7-4AA0-9AF9-55FBA9A2DBB7},50,tihe asfaltbetoon
13592,Staadioni tn,7951045,kõrvaltänav,{9BD543B5-C3B4-4C5F-A420-457DB93A6F95},50,tihe asfaltbetoon
13593,Staadioni tn,7951045,kõrvaltänav,{5E73DA88-488A-4CB7-A14E-FEBCD2C7A842},30,tihe asfaltbetoon
13594,Staadioni tn,7951045,kõrvaltänav,{EEC4B8F1-5602-4462-A605-9B564A2043B3},50,tihe asfaltbetoon
13595,Staadioni tn,7951045,kõrvaltänav,{DFA49FF4-7733-437B-91D5-858383CC2BD7},50,tihe asfaltbetoon
13596,Staadioni tn,7951045,kõrvaltänav,{EE31B9C4-9C4B-4C5F-BF11-F13B176739E2},50,tihe asfaltbetoon
13597,Staadioni tn,7951045,kõrvaltänav,{35565458-BAB5-427B-92F7-FAA4B1008B2A},50,tihe asfaltbetoon
13598,Staadioni tn,7951045,kõrvaltänav,{0ABC9599-E928-4AAA-8881-01244B1095E3},50,tihe asfaltbetoon
13599,Stroomi tee,,muu tee,{186613AB-D378-4E42-ABCE-73C00E7D7CDA},90,kruusatee
13600,Suda tee,8310032,muu tee,{065D0FD8-A73C-4199-B78E-55046DC3E267},90,kruusatee
13601,Suda tee,8310032,muu tee,{829A339F-82D5-4279-8892-0A40E262A473},90,kruusatee
13602,Sule tee,,muu tee,{90FFAF2A-CAD7-4C85-8F6C-98AA9736CE6E},90,kruusatee
13603,Surnuaia tn,7950320,kõrvaltänav,{8F4ACFA3-D635-46BB-9B39-2A14D693436B},50,tihe asfaltbetoon
13604,Surnuaia tn,7950320,kõrvaltänav,{4B92B906-28D9-46EF-9F87-1959BE7F05D9},50,tihe asfaltbetoon
13605,Surnuaia tn,7950320,kõrvaltänav,{8198CCAE-57E3-4019-BF20-6339A47EFD44},50,tihe asfaltbetoon
13606,Surnuaia tn,7950320,kõrvaltänav,{344C5B67-09BD-4385-92ED-B33891E96334},50,tihe asfaltbetoon
13607,Suur kaar,7950321,kõrvaltänav,{04095437-1C8C-44C2-96C4-E55E363CFDCB},50,tihe asfaltbetoon
13608,Suur kaar,7950321,kõrvaltänav,{CBAA20EC-56FC-4D29-A74B-1A0D3CF98F9F},30,tihe asfaltbetoon
13609,Suur kaar,7950321,kõrvaltänav,{0E5B80F2-A650-4B30-81A0-C1D2A6CFD204},50,tihe asfaltbetoon
13610,Suur kaar,7950321,kõrvaltänav,{9A799459-533A-40CE-B5F5-23720292E03F},50,tihe asfaltbetoon
13611,Suur kaar,7950321,kõrvaltänav,{DE89C57F-63BD-4AE7-B47F-52495C0FD3E0},50,tihe asfaltbetoon
13612,Suur kaar,7950321,kõrvaltänav,{CE049EBA-245A-4212-ABA7-2540BE61CA88},50,tihe asfaltbetoon
13613,Suur kaar,7950321,kõrvaltänav,{5DDB5275-BAC6-4B33-984C-D6889D4A9AC6},50,tihe asfaltbetoon
13614,Suur kaar,7950321,kõrvaltänav,{20E79021-274A-4D7C-A716-E7B1F54E5ED5},50,tihe asfaltbetoon
13615,Suur kaar,7950321,kõrvaltänav,{D1AC6F4E-D694-4786-A02E-1A43712AD724},50,tihe asfaltbetoon
13616,Suur kaar,7950321,kõrvaltänav,{04C3C9AB-6D75-470B-A2E8-B035EEB5C617},50,tihe asfaltbetoon
13617,Suur kaar,7950321,kõrvaltänav,{A9987741-5AF5-4C25-8C19-B3B52AD9403D},50,tihe asfaltbetoon
13618,Suur kaar,7950321,kõrvaltänav,{09650B72-8279-4AAF-92AC-18096EA871C1},50,tihe asfaltbetoon
13619,Suur kaar,7950321,kõrvaltänav,{381263D6-222F-4538-BD1D-7B61272AB5DF},50,tihe asfaltbetoon
13620,Suur kaar,7950321,kõrvaltänav,{B256F2AD-F2E7-41DB-8206-15AD808F8190},50,tihe asfaltbetoon
13621,Suur kaar,7950321,kõrvaltänav,{75C6A22D-F53C-4A83-9A46-068CA96A4BAA},50,tihe asfaltbetoon
13622,Suur kaar,7950321,kõrvaltänav,{575D6917-7125-4727-9FE7-A8225D26A597},50,tihe asfaltbetoon
13623,Suur kaar,7950321,kõrvaltänav,{F44E325C-C090-405A-B6A3-A06E4FEF1D39},50,tihe asfaltbetoon
13624,Suur kaar,7950321,kõrvaltänav,{887F82C9-F760-4E08-8939-85F33E3D2661},50,tihe asfaltbetoon
13625,Suur kaar,7950321,kõrvaltänav,{E7E78B0B-80BE-417D-B938-8B7540B65B36},50,tihe asfaltbetoon
13626,Suur kaar,7950321,kõrvaltänav,{972D1FD1-3C41-4B0A-A742-BEA18654B6C5},30,tihe asfaltbetoon
13627,Suur kaar,7950321,kõrvaltänav,{E85CAF05-E568-43F1-852D-FCE529BFB211},50,tihe asfaltbetoon
13628,Suur kaar,7950321,kõrvaltänav,{938CAA28-138A-4FAE-9985-11FD45A03259},50,tihe asfaltbetoon
13629,Suur kaar,,jalgtee,{15A176A3-D10C-45EF-878A-B5255A4E9B7C},50,kattega tee (katte liik teadmata)
13630,Suur kaar,,kõnnitee,{6BB00C1E-8E87-43DA-B8F8-AE8A84DDFDB3},50,asfaltbetoon
13631,Suur kaar,,jalgtee,{F9C10BB1-FCCC-4A13-BD40-B89CBFB09968},50,teadmata
13632,Suur kaar,,jalgtee,{2895B81D-E776-4E53-87B2-1543C5F14650},50,teadmata
13633,Suur kaar,,jalgtee,{D7DE2669-F24C-4A07-A04E-243E0CCF09E0},50,teadmata
13634,Suur kaar,,kõnnitee,{A90F6856-5B74-484C-84E1-E1F8F719EE1F},50,graniit
13635,Suur kaar,,kõnnitee,{268F86B5-9BA7-494D-B016-B2EA95FD23F7},50,kattega tee (katte liik teadmata)
13636,Suur kaar,,kõnnitee,{B430EFD1-EC50-4CFE-9F1C-B09506E90C9F},50,asfaltbetoon
13637,Suur kaar,,kõnnitee,{13CF3177-5ADA-4EB7-BE5E-30FE28304645},50,asfaltbetoon
13638,Suur kaar,,kõnnitee,{D2BC3277-5EC6-4D84-846C-9BA78C6743F3},50,asfaltbetoon
13639,Suur kaar,,kõnnitee,{D6CB958D-919B-4D1C-A7E3-FAE1442947CD},50,asfaltbetoon
13640,Suur kaar,,kõnnitee,{7FA53112-51BC-4CD4-AAEE-AF8C087A1F7B},50,asfaltbetoon
13641,Suur kaar,,kõnnitee,{710CFB12-78D0-46AA-8ABB-FCBA9A2AD60A},50,asfaltbetoon
13642,Suur kaar,,kõnnitee,{E040CB56-43A2-4F70-8719-E8D1515F390A},50,asfaltbetoon
13643,Suur kaar 6 juurdepääsutee,7950952,kvartalisisene tänav,{2ABE4B9E-1AB9-4B82-9675-1377879AE92D},50,kruusatee
13644,Suur kaar J 42,7950950,kvartalisisene tänav,{0C776AE2-8AA0-401A-9F7B-588160CAC46C},50,kruusatee
13645,Suur-Kalda,,muu tee,{26F9EE41-CCAD-4E31-AC00-ADB2981EB1E3},90,kruusatee
13646,Suuroja,,muu tee,{48B7BDF9-2C50-45AB-8329-8832DD272123},90,kruusatee
13647,Suve tee,8310343,muu tee,{B64F73C2-D401-47A6-910F-E827A740445F},90,pinnastee
13648,Suve tee,8310343,muu tee,{EABFADBF-5B93-4E5B-BD06-0119C25BBC7E},90,pinnastee
13649,Suveaed,,jalgtee,{44DE7BC2-FBDF-4505-AD6B-50AFFCE19331},50,kattega tee (katte liik teadmata)
13650,Suveaed,,jalgtee,{571B5F16-0171-4E41-80BA-60C177A660F3},50,kattega tee (katte liik teadmata)
