ID,Nimi,Number,Liik,Tee_GID,Piirkiirus,Kate
1,,,jalgrada,{1A9D7C8D-BC8D-42C6-A5BD-82F1CA18A92F},50,kruusatee
2,,,kvartalisisene tänav,{33C74406-F93C-4213-9331-80A66F8A267F},20,kruusatee
3,,7950356,kõrvaltänav,{D3C59FEA-47D9-42EE-AD2E-4586384C79ED},50,kattega tee (katte liik teadmata)
4,,,jalgtee,{042D6D61-33F8-4CE8-B1BF-CB39639C8F13},50,graniit
5,,,jalgrada,{FABD9A2F-E393-4D57-9D6B-E7B836C5AE37},50,kruusatee
6,,,kvartalisisene tänav,{AE3E5652-CF9E-4B06-AABF-C36FA5D93216},20,kattega tee (katte liik teadmata)
7,,7950356,kõrvaltänav,{1986C129-D541-492A-A018-97DD299BF11F},50,kattega tee (katte liik teadmata)
8,,,jalgrada,{08C6E537-8660-4582-9815-5CB1115D208D},50,kruusatee
9,,,jalgrada,{70393E32-652A-4ACF-996C-6E7FAD667660},50,kruusatee
10,,,kvartalisisene tänav,{20C771F3-F4C0-4918-9E84-352C2ACE876C},20,kattega tee (katte liik teadmata)
11,,7950356,kõrvaltänav,{CFB1C3BE-F06E-4F07-8774-448FF25C9234},50,kattega tee (katte liik teadmata)
12,,,jalgrada,{88F86FC1-6725-49AA-A512-09701E42E01C},50,kruusatee
13,,,muu tee,{CF9AB163-5CC9-4531-B9CA-A018BA780706},90,kruusatee
14,,,kvartalisisene tänav,{3F4FC162-AD84-4203-977D-38EBB6BAD3D4},20,kruusatee
15,,,kõrvaltänav,{DBABB31F-3DF4-498C-A6D8-4F7A4AD3A514},50,kattega tee (katte liik teadmata)
16,,,kõnnitee,{F0413B1B-2BBA-4714-9317-519F38E48728},50,kattega tee (katte liik teadmata)
17,,,muu tee,{80065B6B-E0B5-49BC-818D-3578C200D0DF},90,kruusatee
18,,,kvartalisisene tänav,{DE6647ED-E851-46A1-A3E1-5DE87698671F},20,kruusatee
19,,,kõrvaltänav,{EB591A00-132C-45D1-8E04-1325A8F5A739},50,kattega tee (katte liik teadmata)
20,,,kõnnitee,{A25970BC-561A-45A0-BC39-A7F3D85C4285},50,kattega tee (katte liik teadmata)
21,,,muu tee,{E8E8E067-E690-4647-9971-66F6792A716E},90,kruusatee
22,,,muu tee,{080E0B4E-8B59-41F0-BAD1-3EADDEBF2406},90,kruusatee
23,,,kõrvaltänav,{555E7768-1D2B-47EF-937E-56AE3D0228C0},50,kattega tee (katte liik teadmata)
24,,,muu tee,{49517B71-01F8-4C75-AF01-14000EA53224},90,kruusatee
25,,,muu tee,{563E06D8-E176-4D66-98BF-369512D074A6},90,kruusatee
26,,,kvartalisisene tänav,{BE6F4A99-329A-410C-A350-72166A896A4E},50,kruusatee
27,,,kõrvaltänav,{772AC917-DEA2-47A4-8950-42054AEACA46},50,kattega tee (katte liik teadmata)
28,,,jalgratta- ja jalgtee,{7E3D21FB-A46E-47E2-95F0-BA7AE8E1560D},50,kattega tee (katte liik teadmata)
29,,,muu tee,{568A4809-16B6-4A86-ABA6-0879CF9D714E},90,kruusatee
30,,,kõnnitee,{046968A7-7130-48F1-AAF6-6F3BACD3394E},50,kattega tee (katte liik teadmata)
31,,,kõnnitee,{8CEC49FD-64AB-428F-BB91-89C45590840A},50,kattega tee (katte liik teadmata)
32,,,kõnnitee,{2259D5AE-34CF-4A7F-85FA-6BA4C7772C6D},50,kattega tee (katte liik teadmata)
33,,,kõnnitee,{2297ECCA-E8BC-446E-B89C-BD7B0A9C0E1F},50,kattega tee (katte liik teadmata)
34,,,kõnnitee,{661BDF84-3F2F-43F9-9352-6FFE2DE64A8A},50,asfaltbetoon
35, ,,jalgrada,{3912B1C4-070D-44E4-95A8-F572C5CD64E4},50,"kruus, killustik jms"
36, ,,kvartalisisene tänav,{D5790FEA-085C-4780-B0B0-5FD671A6CB76},50,tihe asfaltbetoon
37, ,,muu tee,{5028E5F4-9BE9-47D3-83E8-405F5E838475},90,kruusatee
38, ,,kvartalisisene tänav,{E2A575FB-08C8-4880-8E1A-CCE965004FDD},50,kattega tee (katte liik teadmata)
39, ,,jalgrada,{57469D71-89D4-4F07-9886-A4909C0BDA40},50,"kruus, killustik jms"
40, ,,kvartalisisene tänav,{91DBA65B-3160-49D9-A0E2-6B83A0910F3C},30,kruusatee
41, ,,muu tee,{33FD4E50-96D7-47BD-8674-6D39F5A23324},90,kattega tee (katte liik teadmata)
42, ,,kvartalisisene tänav,{AA3B126B-3B2C-40FB-A72C-7F66C10A0F3B},30,kruusatee
43, ,,jalgrada,{48235B6F-B834-425C-957C-1239E57C93F2},50,"kruus, killustik jms"
44, ,,kvartalisisene tänav,{7515C391-5829-4125-8EAE-B245F4B2EE37},30,kruusatee
45, ,,muu tee,{9F92B9D2-F37C-4856-945F-39F640ECF40E},90,kattega tee (katte liik teadmata)
46, ,,jalgrada,{9B191BC0-BCFA-4D20-B3E9-406084691CB8},50,"kruus, killustik jms"
47, ,,jalgrada,{207298FF-56C0-44CD-8AC9-09969E9EB4F4},50,"kruus, killustik jms"
48, ,,kvartalisisene tänav,{7B630ABF-6A7C-4D1B-8306-CECF0A83B55A},30,teadmata
49, ,,muu tee,{740C6AD2-59CA-48E1-8C25-978B85A4E0FD},90,kattega tee (katte liik teadmata)
50, ,,muu tee,{4D78D5F7-E2CA-4550-B999-2D045987731A},90,tihe asfaltbetoon
51, ,,jalgrada,{754FFA79-C3F1-411D-A2D6-A6498BA54B7A},50,"kruus, killustik jms"
52, ,,jalgrada,{B3839056-5691-435B-9D2C-6AB3D59FCE1B},50,kruusatee
53, ,,muu tee,{F1C10FE7-BAF1-4D4B-9B9E-D29CD15D20F3},90,kattega tee (katte liik teadmata)
54,,,kõnnitee,{F6E60327-AD7B-48CE-ADBD-706C19CF87E3},50,kattega tee (katte liik teadmata)
55, ,,jalgrada,{8C829548-3A70-4064-9160-77826DBAF628},50,"kruus, killustik jms"
56, ,,jalgrada,{E405F6ED-108D-4DB6-A38F-0948B6191558},50,"kruus, killustik jms"
57, ,,muu tee,{7157CF0B-FF12-4AAB-9DB1-2F3CCAFB3870},90,pinnastee
58, ,,kvartalisisene tänav,{7EC3444F-1206-4E96-8F2B-738317E43F15},50,kruusatee
59, ,,jalgrada,{5E67B4DD-80DA-4806-8476-5E3FB474AC5C},50,"kruus, killustik jms"
60, ,,jalgrada,{486155E2-3573-4C66-B825-DE48237DC06D},50,pinnastee
61, ,,muu tee,{B08859A8-DC17-4198-AE32-EAF67B2E0EFB},90,kattega tee (katte liik teadmata)
62, ,,kvartalisisene tänav,{08C27E4E-5FC4-4B3B-B351-D761612B1C8C},50,kruusatee
63, ,,jalgrada,{A0DACD77-5C28-49C4-9F1A-A1CC0AE3B4B5},50,"kruus, killustik jms"
64, ,,jalgrada,{9C3EAB53-31F4-433A-A670-A702BCDBADBA},50,pinnastee
65, ,,muu tee,{F6B3F2C4-EB77-4D6A-92D6-ED3C244514C2},90,kattega tee (katte liik teadmata)
66, ,,kvartalisisene tänav,{3A21D7F3-C524-4B74-8FF0-CDC6DEE55A8C},30,kattega tee (katte liik teadmata)
67, ,,jalgrada,{B01D0C83-A801-4AC7-9520-C9C8C96EF222},50,kruusatee
68, ,,jalgrada,{345839AB-D581-4B8E-8AD3-4FA9C7B9C148},50,"kruus, killustik jms"
69, ,,muu tee,{312FC9B6-A537-45B2-A029-27C5F99F35EC},90,kattega tee (katte liik teadmata)
70, ,,kvartalisisene tänav,{33AD774B-2F3F-4792-843C-968760C1494B},50,pinnastee
71, ,,kvartalisisene tänav,{9ABC6D17-F83A-4C94-8263-6310EA205FAF},50,kattega tee (katte liik teadmata)
72, ,,jalgrada,{DE0FA172-ADC7-4234-9075-9B0CDEA9B813},50,"kruus, killustik jms"
73, ,,jalgrada,{8F698198-4CB5-48B0-844D-7E2D19C0F6CA},90,pinnastee
74, ,,kõrvaltänav,{31090092-F4C2-4CB7-9855-C24C26507889},50,kattega tee (katte liik teadmata)
75, ,,kvartalisisene tänav,{862E1A65-0FC9-4BD6-BF28-875F15EC8018},50,tihe asfaltbetoon
76, ,,jalgrada,{8D2B969B-4CAD-4C3C-869A-E39ACEB0867C},50,"kruus, killustik jms"
77, ,,muu tee,{B754488D-80F3-48E4-B677-E2EA11F165CD},90,pinnastee
78, ,,kvartalisisene tänav,{DCE79169-57F2-478B-8D98-0362B43A47A0},50,kattega tee (katte liik teadmata)
79, ,,kvartalisisene tänav,{CA17C20B-C870-4514-88A6-1D25893392A7},50,kattega tee (katte liik teadmata)
80, ,,jalgrada,{9E24CDFC-C503-47A6-BC69-689FE07381D0},50,"kruus, killustik jms"
81, ,,muu tee,{85F9E16A-A087-46FE-A014-DC5039AD2F0A},90,kattega tee (katte liik teadmata)
82, ,,kvartalisisene tänav,{F25B858A-2247-4967-9C60-468E047DC363},30,kattega tee (katte liik teadmata)
83, ,,jalgrada,{AA55CDF3-DE44-4DCE-8A9D-7BA8DCF0D1E4},50,kruusatee
84, ,,jalgrada,{F69AD8DA-AEF6-450D-B903-FC79D27058B9},90,pinnastee
85, ,,muu tee,{0F822770-5BDC-4EBF-B17F-C36450C0ED51},90,kruusatee
86, ,,kvartalisisene tänav,{73A0196F-D316-4EF9-92DD-71BA3DEE2CEB},30,kattega tee (katte liik teadmata)
87, ,,jalgrada,{76842FD3-F80A-461B-921F-BEDB8C5006A6},50,kruusatee
88, ,,muu tee,{745587E5-F5B6-4B13-9361-23B29B9A136A},50,pinnastee
89, ,,muu tee,{5E33AF81-050B-467F-8813-F9B2FAD62FD9},90,kruusatee
90, ,,kvartalisisene tänav,{DB2CBCF4-A697-4E82-846F-E88F5E2E1FD4},30,kattega tee (katte liik teadmata)
91, ,,jalgrada,{A0BEF061-0F77-4282-B153-D1340401D6C6},50,kruusatee
92, ,,kvartalisisene tänav,{4FABDA44-3B86-4AFC-8AC0-9CAB72FA4F33},50,kattega tee (katte liik teadmata)
93, ,,muu tee,{F67175D6-82DF-4C57-9A66-E6B3ADF75473},90,kruusatee
94, ,,kvartalisisene tänav,{8EEE540D-1DA5-4BDE-9691-EF5B98B7FE0B},50,kruusatee
95, ,,jalgrada,{A42403F8-0519-4D66-88A7-7B1875355240},50,kruusatee
96, ,,planeeritav tee,{31423B24-4614-45D7-9662-387654E39E79},90,teadmata
97, ,,muu tee,{0143A29E-F5BE-411F-8971-496261BFDE54},90,kattega tee (katte liik teadmata)
98, ,,kvartalisisene tänav,{EA9022A7-97B4-4CB1-A5B2-8D0C73C8DBD2},50,kattega tee (katte liik teadmata)
99, ,,kvartalisisene tänav,{A7AED61F-BE01-477E-ACB5-B55B1FA279E2},50,kattega tee (katte liik teadmata)
100, ,,kvartalisisene tänav,{0AFDCDDF-3F06-4320-BEE1-9032DF893273},50,kattega tee (katte liik teadmata)
101, ,,muu tee,{A95105DD-AB04-43FD-89CE-996BAE1C3DAD},90,pinnastee
102, ,,kvartalisisene tänav,{2B3E2E01-5D5D-4498-86B2-81E1DC73A1A9},50,kattega tee (katte liik teadmata)
103, ,,jalgrada,{D5563E4E-9A8B-4AB7-86EC-D7A3BB1EC56D},50,kruusatee
104, ,,kvartalisisene tänav,{643BD01A-F2F0-47FF-BDDC-DE57F8DB2649},50,kattega tee (katte liik teadmata)
105, ,,muu tee,{D6FCEFAA-1046-4218-B4B3-F860BF44A130},90,kruusatee
106, ,,kvartalisisene tänav,{AA1A7D94-0906-4F7E-93A7-EB80FE736C98},50,kattega tee (katte liik teadmata)
107, ,,muu tee,{E04595EA-4237-400C-9865-0F5A798BABD6},50,kruusatee
108, ,,muu tee,{65FDE24F-6C6E-46DB-8289-75A61526A18F},90,pinnastee
109, ,,muu tee,{B0BC1616-4E42-4AF8-A293-94C68AC7D09F},90,kruusatee
110, ,,jalgrada,{CF55441B-0CFA-4F38-847E-D4F9F0F27B83},50,kruusatee
111, ,,kvartalisisene tänav,{CEA7CFE4-802E-4E9A-B8A6-B98196D86F99},50,tihe asfaltbetoon
112, ,,planeeritav tee,{AE092D2F-84E9-418B-83F9-4C88F2735F0B},90,teadmata
113, ,,muu tee,{E2DAD410-E691-4DD9-9FD2-5F25D7616DAD},90,kruusatee
114, ,,jalgrada,{B927110A-9561-4CC5-B826-4E2B5E1FA115},50,kruusatee
115, ,,kvartalisisene tänav,{CFC40825-F642-4E7B-9B9E-317AF3E88B32},20,kruusatee
116, ,,muu tee,{26F9FB4E-FDF0-442B-BE3A-6289B7F16B3F},50,tihe asfaltbetoon
117, ,,muu tee,{13232C06-6E85-47ED-BEB8-3D698F19E23F},90,pinnastee
118, ,,kvartalisisene tänav,{2447C905-D62B-4BAA-9055-DDB4F3BF508E},50,kattega tee (katte liik teadmata)
119, ,,kvartalisisene tänav,{C34DCAB2-9BE0-4F6D-9062-62EADCFB6897},50,kruusatee
120, ,,kvartalisisene tänav,{D6567F42-149F-45EE-8D98-7C2BC3E70A19},50,kruusatee
121, ,,muu tee,{6F78D58D-9F4B-42BC-9793-0977A9D6C4DC},90,pinnastee
122, ,,kvartalisisene tänav,{C5C75D5D-A21B-4F11-9EC2-3637CEFDA996},50,kattega tee (katte liik teadmata)
123, ,,kvartalisisene tänav,{6062A478-64C7-4DC8-9915-3B978CE264D3},50,kattega tee (katte liik teadmata)
124, ,,muu tee,{C9B99AD2-C00D-47C5-B234-DB55586B5F75},50,tihe asfaltbetoon
125, ,,muu tee,{CE7CB05A-1A9A-4F75-9865-57DFC6F3E4EE},90,kruusatee
126, ,,kvartalisisene tänav,{13A82E6A-BD3A-4C97-900A-FFF62C89E855},50,kattega tee (katte liik teadmata)
127, ,,kvartalisisene tänav,{B679EE75-63D6-4444-B2E4-CAEBB35A5869},50,kattega tee (katte liik teadmata)
128, ,,kvartalisisene tänav,{F6AFE119-C6CA-483E-B16A-DACA5712EE84},90,kattega tee (katte liik teadmata)
129, ,,muu tee,{3702A000-A535-4ECB-83DE-8C8FA540F354},90,pinnastee
130, ,,kvartalisisene tänav,{47B2ACE7-082B-4E23-9B80-AF00E52CDDC0},50,kattega tee (katte liik teadmata)
131, ,,jalgrada,{2825DD21-4F83-476E-B10F-EAD31BE60F92},50,kruusatee
132, ,,kvartalisisene tänav,{77E4459E-2F09-4600-B05A-5FFCC5620779},50,kattega tee (katte liik teadmata)
133, ,,muu tee,{5095761B-6AC7-425F-A021-9CC01855BFCD},90,pinnastee
134, ,,kvartalisisene tänav,{846FBD84-B5DE-4065-A2AE-C7692AE28607},20,kattega tee (katte liik teadmata)
135, ,,kvartalisisene tänav,{CCFEF022-B69D-4B8D-AA4A-15AD004F0210},20,kruusatee
136, ,,kvartalisisene tänav,{F4AB9FC1-6659-4B80-9BAA-C6CCCCF13ACD},50,kattega tee (katte liik teadmata)
137, ,,muu tee,{1300CB78-60E1-4C57-A42B-FF3F8AEDD066},90,pinnastee
138, ,,jalgrada,{A07BC21E-5D4C-43A9-BDAF-2293DD618C21},50,kruusatee
139, ,,kvartalisisene tänav,{0E78DC2F-B257-43DD-BFAF-F50F25AFA075},50,kattega tee (katte liik teadmata)
140, ,,kvartalisisene tänav,{6D351E41-8576-4E88-BF9E-086F110292D2},90,pinnastee
141, ,,muu tee,{492FDBB9-C280-42B6-A936-BF160E6B66C5},90,pinnastee
142, ,,jalgrada,{E559BD4F-16F7-4412-8DAC-7A84FEFDAB50},50,kruusatee
143, ,,kvartalisisene tänav,{27669D56-554A-4164-9DD2-E097CBF4EAE5},30,kruusatee
144, ,,jalgrada,{5C1ED1C7-550B-4599-92C6-BC96C79F2C07},50,kruusatee
145, ,,muu tee,{57ADC3C2-7991-4133-9DCD-0B7F6BC0C099},90,pinnastee
146, ,,jalgrada,{0DE72131-5851-46A6-A72D-C63FEB088844},50,kruusatee
147, ,,kvartalisisene tänav,{519148E2-AEA1-4391-A8F3-3881D2694743},50,kattega tee (katte liik teadmata)
148, ,,muu tee,{DF7B91ED-842A-4DD0-B8B0-AEF409AA69CD},90,kruusatee
149, ,,muu tee,{FB3B491C-C052-4E7C-801B-4D38A271B2AA},90,pinnastee
150, ,,kvartalisisene tänav,{A65F814F-C9BC-40F3-946C-CFC4B58B037F},50,kattega tee (katte liik teadmata)
151, ,,kvartalisisene tänav,{9E08906A-A6CE-4B55-844F-51BA8A2759CF},20,kattega tee (katte liik teadmata)
152, ,,kvartalisisene tänav,{34B3508A-CC68-4486-8814-63A9A90705F0},50,kattega tee (katte liik teadmata)
153, ,,muu tee,{3CE3B758-02A1-4B0A-A1B2-CA74E7748CDF},90,pinnastee
154, ,,kvartalisisene tänav,{CACF0359-904E-47ED-AA9D-1C3A15EE3BE5},50,kattega tee (katte liik teadmata)
155, ,,kvartalisisene tänav,{9265F752-475D-44D4-908F-23111CBF9E1F},20,kattega tee (katte liik teadmata)
156, ,,kvartalisisene tänav,{C6E6E1E1-0CAF-4D74-BF56-349920A2F956},50,kattega tee (katte liik teadmata)
157, ,,muu tee,{9AFCF8F9-036E-4116-B09F-6AC65C155E5A},90,pinnastee
158, ,,kvartalisisene tänav,{1D4403F0-6124-4281-BDC3-176EC2CDEC64},50,kattega tee (katte liik teadmata)
159, ,,kvartalisisene tänav,{28D07F63-1BFB-4C70-BE4D-FBD46A534945},50,tihe asfaltbetoon
160, ,,kõrvaltänav,{54DDC3BE-A996-49B2-BAE2-F79925111FE4},90,kattega tee (katte liik teadmata)
161, ,,muu tee,{5966D468-9D92-4C69-B849-DA87C2E47839},90,pinnastee
162, ,,kvartalisisene tänav,{F113BCCF-9839-4479-A83C-AE49E40FEF48},50,kattega tee (katte liik teadmata)
163, ,,kvartalisisene tänav,{C7D9B95F-2B03-44B6-B9E9-542924D7109F},50,kattega tee (katte liik teadmata)
164, ,,kvartalisisene tänav,{93614469-E790-4BE2-8E98-ECA5195E3952},50,kruusatee
165, ,,muu tee,{A58DCBD9-20B9-42A0-97C8-4FF16721D01F},90,pinnastee
166, ,,kvartalisisene tänav,{FD01F730-1228-4E77-85BB-906284C9FA10},50,kattega tee (katte liik teadmata)
167, ,,kvartalisisene tänav,{8D51B236-7B90-40C9-8FBE-1F78FF93D717},50,kruusatee
168, ,,kõrvaltänav,{62138B88-5D65-433A-932D-39CA3635C60A},90,kattega tee (katte liik teadmata)
169, ,,muu tee,{76409263-ECFF-4609-BC30-8B25137D83A4},90,pinnastee
170, ,,kvartalisisene tänav,{76043DCA-DE54-4114-A1C8-5111ABF23FD4},50,kattega tee (katte liik teadmata)
171, ,,kvartalisisene tänav,{96562BD9-0B10-4904-AA9D-C9C29CBD3DF1},50,kattega tee (katte liik teadmata)
172, ,,kvartalisisene tänav,{21BBA6C1-7973-449D-B976-6E22E2A7E545},30,kruusatee
173, ,,muu tee,{351C58AB-AA0E-46B7-91F3-861EC04A4B97},90,pinnastee
174, ,,kvartalisisene tänav,{D9313501-14D2-427C-BCAA-E0279533CFC6},90,kruusatee
175, ,,kvartalisisene tänav,{F1D9D9B1-8F12-41CB-9943-B993442854F9},50,kattega tee (katte liik teadmata)
176, ,,kvartalisisene tänav,{814F7F34-0931-4739-8873-8D7B4A5455EC},50,kruusatee
177, ,,muu tee,{BF377C47-30C8-456F-9B65-20CA6ADA57C9},90,pinnastee
178, ,,kvartalisisene tänav,{DF92716B-0EB2-495F-AA9A-92149CC8C136},50,kattega tee (katte liik teadmata)
179, ,,kvartalisisene tänav,{79CF6E19-FF2D-4292-A42E-1F8C49E5FBE9},30,kattega tee (katte liik teadmata)
180, ,,kõrvaltänav,{C56256E1-6A1F-482A-8133-CEDAD063A84F},90,kattega tee (katte liik teadmata)
181, ,,muu tee,{FD30D589-E82C-4C84-A02C-F5BFAD4B16CC},90,pinnastee
182, ,,kvartalisisene tänav,{33B56A7B-EF96-4E83-B6FD-38C905310340},50,kattega tee (katte liik teadmata)
183, ,,kvartalisisene tänav,{7D5910E1-4559-44F3-997F-461D29946952},50,kattega tee (katte liik teadmata)
184, ,,kvartalisisene tänav,{E011FCE2-E2A9-4036-9BA9-F4A2E5116C06},90,kattega tee (katte liik teadmata)
185, ,,kvartalisisene tänav,{F64B2B08-6FE3-4D18-8172-4E4B1CC36CB7},90,kruusatee
186, ,,kvartalisisene tänav,{E98B8CF8-7061-4B7A-8601-51E6D443E235},50,kattega tee (katte liik teadmata)
187, ,,kvartalisisene tänav,{ABBBA1CB-72A1-4522-8445-552E5B19D4D1},50,kattega tee (katte liik teadmata)
188, ,,jalgrada,{5D671F1E-CACA-4C2B-B475-EC94DD50786A},50,kruusatee
189, ,,muu tee,{8F64A7A9-A4BE-477F-99EE-CBBF4FDA1BB4},90,pinnastee
190, ,,kvartalisisene tänav,{856B566C-3C75-404B-B0EE-C12ED4080170},20,tihe asfaltbetoon
191, ,,kvartalisisene tänav,{F3A562A6-9112-4C99-B98E-94409FBE3D1C},20,pinnastee
192, ,,muu tee,{891F8CEF-C494-4D47-A5BD-845423C71FCA},90,kruusatee
193, ,,muu tee,{8A85A5E8-2307-44FE-B789-AC9970D8B91C},90,pinnastee
194, ,,kvartalisisene tänav,{1F2661D7-3218-4BAC-BA43-72D491C7D4A7},50,kattega tee (katte liik teadmata)
195, ,,kvartalisisene tänav,{E47D9764-2B63-45AB-9B21-8FFE579CEE5F},50,kattega tee (katte liik teadmata)
196, ,,kõrvaltänav,{B6C4252B-F795-430F-A547-A6059132ABEF},90,kattega tee (katte liik teadmata)
197, ,,muu tee,{7A5A59EE-1BFA-47A1-98AB-6681090A2B97},90,pinnastee
198, ,,kvartalisisene tänav,{C1DCE4EC-0438-44A4-BD18-2D8FFC8E5ABB},50,kruusatee
199, ,,kvartalisisene tänav,{BBDB2134-0F68-465A-B101-EB70264154D1},50,kattega tee (katte liik teadmata)
200, ,,kvartalisisene tänav,{FE836B55-D96B-4F64-8F30-0D495E73D840},90,kattega tee (katte liik teadmata)
201, ,,muu tee,{70A8C68A-8B3D-4473-B96B-88506A21BFEC},90,pinnastee
202, ,,kvartalisisene tänav,{D1830A1B-328A-4ACB-AE2C-FD7737FD833A},50,pinnastee
203, ,,kvartalisisene tänav,{28E69D01-1F99-44E6-A2F4-3D851D860A6E},50,pinnastee
204, ,,planeeritav tee,{03B84C00-4D03-4E22-92DC-8D6F71E2EFA0},90,teadmata
205, ,,muu tee,{63658AB0-036A-45ED-97CA-B954127B74A5},90,pinnastee
206, ,,kvartalisisene tänav,{40D4FBA5-DEB2-48C3-82B4-B94B7BB6B9FE},50,kattega tee (katte liik teadmata)
207, ,,kvartalisisene tänav,{A49CD4AB-B27C-49C2-ACBF-2DA0B2F70E15},50,kattega tee (katte liik teadmata)
208, ,,planeeritav tee,{DB47C597-2104-40DB-968F-FED1A5B698F4},50,teadmata
209, ,,muu tee,{62C09052-2061-47ED-8295-B7CD5DE69019},90,kruusatee
210, ,,kvartalisisene tänav,{5A962B3A-AECD-42D0-90C7-93067FC71E8A},50,kattega tee (katte liik teadmata)
211, ,,kvartalisisene tänav,{E88E6401-DBA8-4F1F-A831-14812C46C82D},20,kattega tee (katte liik teadmata)
212, ,,kvartalisisene tänav,{E00028AB-D69C-4835-BC4D-B639FF0CDBEB},50,kruusatee
213, ,,muu tee,{EA7459EF-C5AC-48B7-95D0-FB4986983529},90,pinnastee
214, ,,jalgrada,{4C0A450F-C72B-47FD-ADF7-7826BC1A9B7C},50,kruusatee
215, ,,kvartalisisene tänav,{42B6D932-895D-403D-A711-03332F278C96},50,kattega tee (katte liik teadmata)
216, ,,kõrvaltänav,{4527F725-7DFF-4D18-BF83-FDDBF9157F1D},90,kattega tee (katte liik teadmata)
217, ,,muu tee,{FA3C5D6D-E1B2-4112-BD9E-0AC0B60A422A},90,kruusatee
218, ,,jalgrada,{DCCD8868-1421-4D66-A193-ED1B99B53822},50,kruusatee
219, ,,kvartalisisene tänav,{8A6300A0-F115-4E60-B191-F4753BB26D2D},50,kattega tee (katte liik teadmata)
220, ,,kõrvaltänav,{7910729F-E51A-4AA9-9112-4B4A8224000E},90,kattega tee (katte liik teadmata)
221, ,,muu tee,{B25BEA00-5C56-48B7-9485-67D618881BBA},90,pinnastee
222, ,,kvartalisisene tänav,{487B7F1B-168A-4694-9694-AB4858127B72},50,kattega tee (katte liik teadmata)
223, ,,kvartalisisene tänav,{1F4C8A83-6BC6-4B2A-84B1-8CE87757EA4E},10,kattega tee (katte liik teadmata)
224, ,,kvartalisisene tänav,{4DCF9559-6130-4B8F-A3A0-AF4256DBED27},90,kattega tee (katte liik teadmata)
225, ,,jalgrada,{B1E57E6A-10DB-426E-BB52-DB31123DA1F8},90,pinnastee
226, ,,jalgrada,{549DE926-689D-40F1-9E76-1A99185CC517},50,kruusatee
227, ,,kvartalisisene tänav,{3CBB65F9-163A-4ED9-9D95-607F1D2262A8},50,pinnastee
228, ,,kõrvaltänav,{A06BF9AB-2058-414C-8A27-93E90769B682},90,kattega tee (katte liik teadmata)
229, ,,jalgrada,{EB66FB26-BA36-4AEC-AA96-2D19CCDB97A7},90,pinnastee
230, ,,jalgrada,{AF473D51-1C20-4B59-BBFF-AD07C935505A},50,kruusatee
231, ,,jalgrada,{4DA638C0-FD6A-4681-98E6-89E357BA42CD},50,kruusatee
232, ,,kõrvaltänav,{882FBEF3-C152-4C21-88FD-6E1D60573BA8},90,kattega tee (katte liik teadmata)
233, ,,muu tee,{F6A4A45D-7290-41F3-8F64-137954329E36},90,kattega tee (katte liik teadmata)
234, ,,jalgrada,{2797B3B4-7B6A-4565-BD47-3C4E171DAF88},50,kruusatee
235, ,,jalgrada,{57ED76B7-A9D3-458F-8E8D-D85E1EAA0EBF},50,kruusatee
236, ,,kõrvaltänav,{5D23C539-7EBA-46CF-A3E1-0536ED214EB2},90,kattega tee (katte liik teadmata)
237, ,,muu tee,{8F50FC06-13EF-45DF-8E85-75A65F1C00D1},90,kattega tee (katte liik teadmata)
238, ,,kvartalisisene tänav,{5C9D2423-E7CE-40A7-BD18-25D5B1D627DE},50,kattega tee (katte liik teadmata)
239, ,,kvartalisisene tänav,{4A6C9ADB-B359-4312-8E9A-36D9C726F5AE},50,kattega tee (katte liik teadmata)
240, ,,kõrvaltänav,{F3440270-9CBC-4DD9-A7DE-8AAA83144C73},90,kattega tee (katte liik teadmata)
241, ,,kvartalisisene tänav,{BC817E04-463A-4713-B564-ABCCA9626694},90,pinnastee
242, ,,kvartalisisene tänav,{83F51C18-8DCE-45C2-BDAA-2E198D474160},50,kattega tee (katte liik teadmata)
243, ,,jalgrada,{033DA38C-9BC1-494A-9BDB-7308FE8F1B25},50,kruusatee
244, ,,kõrvaltänav,{848A0BAA-F5B3-4529-8F62-C585111B1D6B},20,tihe asfaltbetoon
245, ,,muu tee,{924C2310-B148-4E1E-8A57-CA3B9DCF4BB4},90,kruusatee
246, ,,jalgrada,{D33AC9ED-BC17-4C7D-B60D-581AB39678B4},50,kruusatee
247, ,,jalgrada,{8D94D35D-B627-4FEA-A0EE-C8C917869DBC},50,kruusatee
248, ,,muu tee,{DEAF065C-52AE-434E-BDB0-1F0E6900635C},90,kruusatee
249, ,,muu tee,{BCC4E80D-F3C1-4DC7-931F-97DC9EDFAA49},90,kruusatee
250, ,,kvartalisisene tänav,{9A3CC743-2E41-40BD-8AF3-67CA5ABCB902},50,kattega tee (katte liik teadmata)
251, ,,jalgrada,{47444324-2EC5-401D-9BA5-5362910FAA0C},50,kruusatee
252, ,,jalgrada,{1A37D44D-CC91-4DC6-84B6-5CDCC5A94421},50,pinnastee
253, ,,muu tee,{A5582D38-0152-467D-BA15-3194A26062E0},90,kruusatee
254, ,,kvartalisisene tänav,{6ACFB065-1C73-4CFB-9C38-7A327917691F},30,tihe asfaltbetoon
255, ,,kvartalisisene tänav,{204FC77C-7894-48F7-A203-8DB37C4768F2},50,tihe asfaltbetoon
